Localization,Disease,Pace,Pattern,Etiology,Prompt
Midbrain,Multiple sclerosis plaque (brainstem),subacute,relapsing,Inflammatory/Autoimmune,"a 32-year-old with days to weeks of ipsilateral cranial nerve III palsy with contralateral hemiparesis, following a recent infection or subfebrile illness; symptoms may fluctuate."
Pons,Central pontine myelinolysis (osmotic demyelination),subacute,progressive,Metabolic,"a 58-year-old with days to weeks of dysarthria, ataxia, and internuclear ophthalmoplegia/abducens findings, with nutritional/endocrine risk factors and subacute progression."
Pons,Pontine infarct (basilar territory),acute,monophasic,Vascular,"a 68-year-old with sudden, hours-old dysarthria, ataxia, and internuclear ophthalmoplegia/abducens findings, after sudden symptom onset during routine activity; BP elevated on arrival."
Pons,Cavernous malformation (pontine),subacute,stepwise,Vascular,"a 68-year-old with days to weeks of dysarthria, ataxia, and internuclear ophthalmoplegia/abducens findings, after sudden symptom onset during routine activity; BP elevated on arrival."
Medulla,Lateral medullary infarct (Wallenberg),acute,monophasic,Vascular,"a 68-year-old with sudden, hours-old vertigo, hoarseness, dysphagia, ipsilateral facial loss of pain/temp with contralateral body loss, after sudden symptom onset during routine activity; BP elevated on arrival."
Medulla,Medullary glioma,chronic,progressive,Neoplastic,"a 56-year-old with months to years of vertigo, hoarseness, dysphagia, ipsilateral facial loss of pain/temp with contralateral body loss, with progressive course and mild morning headaches; exam worsens over weeks."
Medulla,Demyelinating lesion (MS),subacute,relapsing,Inflammatory/Autoimmune,"a 32-year-old with days to weeks of vertigo, hoarseness, dysphagia, ipsilateral facial loss of pain/temp with contralateral body loss, following a recent infection or subfebrile illness; symptoms may fluctuate."
Cerebellum Hemisphere,Cerebellar infarct (PICA/SCA),acute,monophasic,Vascular,"a 68-year-old with sudden, hours-old limb ataxia and intention tremor on the ipsilateral side, after sudden symptom onset during routine activity; BP elevated on arrival."
Cerebellum Hemisphere,Metastatic tumor to cerebellum,subacute,progressive,Neoplastic,"a 56-year-old with days to weeks of limb ataxia and intention tremor on the ipsilateral side, with progressive course and mild morning headaches; exam worsens over weeks."
Cerebellum Hemisphere,Acute cerebellitis (post-infectious),subacute,monophasic,Infectious,"a 45-year-old with days to weeks of limb ataxia and intention tremor on the ipsilateral side, with low-grade fevers or recent infection; mild leukocytosis present."
Cerebellum Midline,Medulloblastoma (vermis),subacute,progressive,Neoplastic,"a 19-year-old with days to weeks of truncal ataxia with wide-based gait and difficulty sitting upright, with progressive course and mild morning headaches; exam worsens over weeks."
Cerebellum Midline,Alcoholic cerebellar degeneration (vermis-predominant),chronic,progressive,Toxic,"a 54-year-old with months to years of truncal ataxia with wide-based gait and difficulty sitting upright, with relevant exposure history and symmetric symptoms."
Cerebellum Midline,Vermian infarct,acute,monophasic,Vascular,"a 68-year-old with sudden, hours-old truncal ataxia with wide-based gait and difficulty sitting upright, after sudden symptom onset during routine activity; BP elevated on arrival."
Corticospinal tracts,Lacunar infarct of posterior limb internal capsule,acute,monophasic,Vascular,"a 68-year-old with sudden, hours-old descending weakness with brisk reflexes and Babinski signs, after sudden symptom onset during routine activity; BP elevated on arrival."
Corticospinal tracts,Primary lateral sclerosis,chronic,progressive,Degenerative,"a 62-year-old with months to years of descending weakness with brisk reflexes and Babinski signs, with insidious decline affecting function at home and work."
Corticospinal tracts,Cervical spondylotic myelopathy (CST involvement),chronic,progressive,Degenerative,"a 62-year-old with months to years of descending weakness with brisk reflexes and Babinski signs, with insidious decline affecting function at home and work."
Spinothalamic tracts,Syringomyelia (central cord),chronic,progressive,Degenerative,"a 62-year-old with months to years of loss of pain and temperature in a cape-like or contralateral pattern, with insidious decline affecting function at home and work."
Spinothalamic tracts,Anterior spinal artery infarct,acute,monophasic,Vascular,"a 68-year-old with sudden, hours-old loss of pain and temperature in a cape-like or contralateral pattern, after sudden symptom onset during routine activity; BP elevated on arrival."
Spinothalamic tracts,Multiple sclerosis plaque (cord),subacute,relapsing,Inflammatory/Autoimmune,"a 32-year-old with days to weeks of loss of pain and temperature in a cape-like or contralateral pattern, following a recent infection or subfebrile illness; symptoms may fluctuate."
Dorsal columns,Subacute combined degeneration (B12 deficiency),subacute,progressive,Metabolic,"a 58-year-old with days to weeks of sensory ataxia with positive Romberg and impaired vibration/joint position sense, with nutritional/endocrine risk factors and subacute progression."
Dorsal columns,Tabes dorsalis (neurosyphilis),chronic,progressive,Infectious,"a 45-year-old with months to years of sensory ataxia with positive Romberg and impaired vibration/joint position sense, with low-grade fevers or recent infection; mild leukocytosis present."
Dorsal columns,Posterior spinal artery infarct (posterior cord syndrome),acute,monophasic,Vascular,"a 68-year-old with sudden, hours-old sensory ataxia with positive Romberg and impaired vibration/joint position sense, after sudden symptom onset during routine activity; BP elevated on arrival."
Cervical roots,Cervical radiculopathy from disc herniation,acute,stepwise,Degenerative,"a 62-year-old with sudden, hours-old neck pain radiating to arm with dermatomal numbness and reduced reflex in the distribution, with insidious decline affecting function at home and work."
Cervical roots,Herpes zoster radiculitis (cervical),subacute,monophasic,Infectious,"a 45-year-old with days to weeks of neck pain radiating to arm with dermatomal numbness and reduced reflex in the distribution, with low-grade fevers or recent infection; mild leukocytosis present."
Cervical roots,Foraminal stenosis (degenerative),chronic,progressive,Degenerative,"a 62-year-old with months to years of neck pain radiating to arm with dermatomal numbness and reduced reflex in the distribution, with insidious decline affecting function at home and work."
Thoracic roots,Diabetic thoracic radiculopathy,subacute,monophasic,Metabolic,"a 58-year-old with days to weeks of band-like chest/abdominal pain and sensory change following a dermatomal stripe, with nutritional/endocrine risk factors and subacute progression."
Thoracic roots,Herpes zoster radiculitis (thoracic),subacute,monophasic,Infectious,"a 45-year-old with days to weeks of band-like chest/abdominal pain and sensory change following a dermatomal stripe, with low-grade fevers or recent infection; mild leukocytosis present."
Thoracic roots,Thoracic disc herniation,acute,stepwise,Degenerative,"a 62-year-old with sudden, hours-old band-like chest/abdominal pain and sensory change following a dermatomal stripe, with insidious decline affecting function at home and work."
Lumbar roots,Lumbar disc herniation with radiculopathy,acute,stepwise,Degenerative,"a 62-year-old with sudden, hours-old low back pain with dermatomal leg pain, foot drop or Achilles reflex loss, with insidious decline affecting function at home and work."
Lumbar roots,Cauda equina syndrome from central disk herniation,acute,monophasic,Degenerative,"a 62-year-old with sudden, hours-old low back pain with dermatomal leg pain, foot drop or Achilles reflex loss, with insidious decline affecting function at home and work."
Lumbar roots,Spinal epidural abscess compressing roots,subacute,progressive,Infectious,"a 45-year-old with days to weeks of low back pain with dermatomal leg pain, foot drop or Achilles reflex loss, with low-grade fevers or recent infection; mild leukocytosis present."
Dorsal root ganglia,"Sensory neuronopathy (e.g., Sjögren-related)",subacute,progressive,Inflammatory/Autoimmune,"a 32-year-old with days to weeks of patchy large-fiber sensory loss with areflexia but preserved strength, following a recent infection or subfebrile illness; symptoms may fluctuate."
Dorsal root ganglia,Varicella-zoster reactivation (zoster),subacute,monophasic,Infectious,"a 45-year-old with days to weeks of patchy large-fiber sensory loss with areflexia but preserved strength, with low-grade fevers or recent infection; mild leukocytosis present."
Dorsal root ganglia,Cisplatin-induced sensory neuronopathy,subacute,progressive,Toxic,"a 54-year-old with days to weeks of patchy large-fiber sensory loss with areflexia but preserved strength, with relevant exposure history and symmetric symptoms."
Brachial plexus,Parsonage-Turner syndrome (neuralgic amyotrophy),acute,monophasic,Inflammatory/Autoimmune,"a 32-year-old with sudden, hours-old shoulder/upper arm pain followed by multifocal arm weakness not confined to one root, following a recent infection or subfebrile illness; symptoms may fluctuate."
Brachial plexus,Traumatic avulsion / stretch injury,hyperacute,monophasic,Degenerative,"a 62-year-old with sudden, minutes-old shoulder/upper arm pain followed by multifocal arm weakness not confined to one root, with insidious decline affecting function at home and work."
Brachial plexus,Radiation-induced brachial plexopathy,chronic,progressive,Toxic,"a 54-year-old with months to years of shoulder/upper arm pain followed by multifocal arm weakness not confined to one root, with relevant exposure history and symmetric symptoms."
Lumbosacral plexus,Diabetic lumbosacral radiculoplexus neuropathy,subacute,progressive,Metabolic,"a 58-year-old with days to weeks of thigh/hip pain followed by proximal leg weakness and weight loss, with nutritional/endocrine risk factors and subacute progression."
Lumbosacral plexus,Retroperitoneal hematoma compressing plexus,acute,monophasic,Vascular,"a 68-year-old with sudden, hours-old thigh/hip pain followed by proximal leg weakness and weight loss, after sudden symptom onset during routine activity; BP elevated on arrival."
Lumbosacral plexus,Postoperative lumbosacral plexopathy,acute,monophasic,Degenerative,"a 62-year-old with sudden, hours-old thigh/hip pain followed by proximal leg weakness and weight loss, with insidious decline affecting function at home and work."
Axon,Length-dependent axonal polyneuropathy (diabetic),chronic,progressive,Metabolic,"a 58-year-old with months to years of length-dependent numbness and burning pain in the feet ascending over time, with nutritional/endocrine risk factors and subacute progression."
Axon,Acute motor axonal neuropathy (AMAN),acute,progressive,Inflammatory/Autoimmune,"a 32-year-old with sudden, hours-old length-dependent numbness and burning pain in the feet ascending over time, following a recent infection or subfebrile illness; symptoms may fluctuate."
Axon,"Toxic axonopathy (e.g., arsenic)",subacute,progressive,Toxic,"a 54-year-old with days to weeks of length-dependent numbness and burning pain in the feet ascending over time, with relevant exposure history and symmetric symptoms."
Myelin,AIDP (Guillain-Barré syndrome),subacute,progressive,Inflammatory/Autoimmune,"a 32-year-old with days to weeks of areflexic weakness with sensory symptoms and conduction slowing on NCS, following a recent infection or subfebrile illness; symptoms may fluctuate."
Myelin,CIDP,chronic,relapsing,Inflammatory/Autoimmune,"a 32-year-old with months to years of areflexic weakness with sensory symptoms and conduction slowing on NCS, following a recent infection or subfebrile illness; symptoms may fluctuate."
Myelin,Charcot-Marie-Tooth disease type 1 (demyelinating),chronic,progressive,Degenerative,"a 62-year-old with months to years of areflexic weakness with sensory symptoms and conduction slowing on NCS, with insidious decline affecting function at home and work."
NMJ Pre‑synaptic,Lambert-Eaton myasthenic syndrome,subacute,progressive,Inflammatory/Autoimmune,"a 32-year-old with days to weeks of fluctuating proximal weakness that improves transiently with brief exercise, following a recent infection or subfebrile illness; symptoms may fluctuate."
NMJ Pre‑synaptic,Botulism,acute,monophasic,Toxic,"a 54-year-old with sudden, hours-old fluctuating proximal weakness that improves transiently with brief exercise, with relevant exposure history and symmetric symptoms."
NMJ Pre‑synaptic,Aminoglycoside-induced NMJ blockade,acute,monophasic,Toxic,"a 54-year-old with sudden, hours-old fluctuating proximal weakness that improves transiently with brief exercise, with relevant exposure history and symmetric symptoms."
NMJ Post‑synaptic,Myasthenia gravis,subacute,relapsing,Inflammatory/Autoimmune,"a 32-year-old with days to weeks of fluctuating ptosis/diplopia and fatigable proximal weakness worse late in the day, following a recent infection or subfebrile illness; symptoms may fluctuate."
NMJ Post‑synaptic,α-bungarotoxin envenomation (postsynaptic blockade),hyperacute,monophasic,Toxic,"a 54-year-old with sudden, minutes-old fluctuating ptosis/diplopia and fatigable proximal weakness worse late in the day, with relevant exposure history and symmetric symptoms."
NMJ Post‑synaptic,Congenital myasthenic syndrome (postsynaptic),chronic,progressive,Degenerative,"a 62-year-old with months to years of fluctuating ptosis/diplopia and fatigable proximal weakness worse late in the day, with insidious decline affecting function at home and work."
Proximal muscle,Polymyositis,subacute,progressive,Inflammatory/Autoimmune,"a 32-year-old with days to weeks of difficulty climbing stairs and rising from a chair with preserved distal strength, following a recent infection or subfebrile illness; symptoms may fluctuate."
Proximal muscle,Dermatomyositis,subacute,progressive,Inflammatory/Autoimmune,"a 32-year-old with days to weeks of difficulty climbing stairs and rising from a chair with preserved distal strength, following a recent infection or subfebrile illness; symptoms may fluctuate."
Proximal muscle,Limb-girdle muscular dystrophy,chronic,progressive,Degenerative,"a 62-year-old with months to years of difficulty climbing stairs and rising from a chair with preserved distal strength, with insidious decline affecting function at home and work."
Distal muscle,Inclusion body myositis,chronic,progressive,Degenerative,"a 62-year-old with months to years of finger flexor and ankle dorsiflexor weakness with difficulty gripping and stepping, with insidious decline affecting function at home and work."
Distal muscle,"Distal myopathy (e.g., Welander)",chronic,progressive,Degenerative,"a 62-year-old with months to years of finger flexor and ankle dorsiflexor weakness with difficulty gripping and stepping, with insidious decline affecting function at home and work."
Distal muscle,Myotonic dystrophy type 1,chronic,progressive,Degenerative,"a 62-year-old with months to years of finger flexor and ankle dorsiflexor weakness with difficulty gripping and stepping, with insidious decline affecting function at home and work."
